CMDLINE /usr/bin/python3 scripts/Lasso-RF-Malaria.py
MEM 370.347656 1652243509.0216
MEM 324.238281 1652243509.1220
MEM 355.019531 1652243509.2223
MEM 370.347656 1652243509.3229
MEM 370.347656 1652243509.4232
MEM 324.238281 1652243509.5236
MEM 355.019531 1652243509.6240
MEM 370.347656 1652243509.7244
MEM 370.347656 1652243509.8261
MEM 370.347656 1652243509.9266
MEM 324.238281 1652243510.0271
MEM 355.019531 1652243510.1275
MEM 370.347656 1652243510.2279
MEM 370.347656 1652243510.3284
MEM 312.457031 1652243510.4288
MEM 324.238281 1652243510.5293
MEM 354.761719 1652243510.6297
MEM 370.089844 1652243510.7301
MEM 370.089844 1652243510.8305
MEM 370.089844 1652243510.9309
MEM 323.722656 1652243511.0314
MEM 355.019531 1652243511.1318
MEM 370.347656 1652243511.2323
MEM 370.347656 1652243511.3326
MEM 322.457031 1652243511.4330
MEM 339.500000 1652243511.5334
MEM 356.308594 1652243511.6337
MEM 370.347656 1652243511.7341
MEM 309.171875 1652243511.8345
MEM 324.238281 1652243511.9348
MEM 355.019531 1652243512.0352
MEM 370.347656 1652243512.1355
MEM 309.171875 1652243512.2359
MEM 355.019531 1652243512.3363
MEM 370.347656 1652243512.4367
MEM 370.347656 1652243512.5370
MEM 370.347656 1652243512.6374
MEM 324.238281 1652243512.7382
MEM 354.761719 1652243512.8385
MEM 370.089844 1652243512.9390
MEM 370.089844 1652243513.0394
MEM 324.238281 1652243513.1397
MEM 355.019531 1652243513.2432
MEM 370.347656 1652243513.3437
MEM 370.347656 1652243513.4442
MEM 324.238281 1652243513.5445
MEM 324.238281 1652243513.6449
MEM 355.019531 1652243513.7454
MEM 370.347656 1652243513.8460
MEM 370.347656 1652243513.9465
MEM 324.238281 1652243514.0469
MEM 355.019531 1652243514.1473
MEM 370.347656 1652243514.2478
MEM 370.347656 1652243514.3481
MEM 309.171875 1652243514.4486
MEM 324.238281 1652243514.5490
MEM 355.019531 1652243514.6494
MEM 370.347656 1652243514.7498
MEM 370.347656 1652243514.8502
MEM 323.980469 1652243514.9505
MEM 324.238281 1652243515.0509
MEM 354.761719 1652243515.1513
MEM 370.089844 1652243515.2517
MEM 370.089844 1652243515.3521
MEM 324.238281 1652243515.4525
MEM 355.019531 1652243515.5529
MEM 370.347656 1652243515.6534
MEM 370.347656 1652243515.7538
MEM 312.457031 1652243515.8542
MEM 324.238281 1652243515.9546
MEM 355.019531 1652243516.0550
MEM 370.347656 1652243516.1572
MEM 309.171875 1652243516.2576
MEM 324.238281 1652243516.3579
MEM 355.019531 1652243516.4583
MEM 370.347656 1652243516.5587
MEM 370.347656 1652243516.6591
MEM 324.238281 1652243516.7595
MEM 355.019531 1652243516.8599
MEM 370.347656 1652243516.9603
MEM 370.347656 1652243517.0608
MEM 324.238281 1652243517.1612
MEM 326.496094 1652243517.2616
MEM 354.761719 1652243517.3620
MEM 370.089844 1652243517.4624
MEM 370.089844 1652243517.5628
MEM 324.238281 1652243517.6632
MEM 355.019531 1652243517.7636
MEM 370.347656 1652243517.8640
MEM 370.347656 1652243517.9645
MEM 324.238281 1652243518.0648
MEM 355.019531 1652243518.1651
MEM 370.347656 1652243518.2656
MEM 370.347656 1652243518.3660
MEM 324.238281 1652243518.4665
MEM 328.496094 1652243518.5669
MEM 355.019531 1652243518.6674
MEM 370.347656 1652243518.7679
MEM 370.347656 1652243518.8684
MEM 322.691406 1652243518.9688
MEM 324.238281 1652243519.0693
MEM 355.019531 1652243519.1697
MEM 370.347656 1652243519.2702
MEM 370.347656 1652243519.3707
MEM 324.238281 1652243519.4711
MEM 354.761719 1652243519.5716
MEM 370.089844 1652243519.6720
MEM 370.089844 1652243519.7724
MEM 370.089844 1652243519.8728
MEM 324.238281 1652243519.9735
MEM 355.019531 1652243520.0739
MEM 370.347656 1652243520.1744
MEM 370.347656 1652243520.2749
MEM 324.238281 1652243520.3753
MEM 332.496094 1652243520.4756
MEM 355.019531 1652243520.5760
MEM 370.347656 1652243520.6765
MEM 370.347656 1652243520.7769
MEM 324.238281 1652243520.8773
MEM 355.019531 1652243520.9778
MEM 370.347656 1652243521.0782
MEM 370.347656 1652243521.1787
MEM 324.238281 1652243521.2792
MEM 355.019531 1652243521.3797
MEM 370.347656 1652243521.4800
MEM 370.347656 1652243521.5805
MEM 324.238281 1652243521.6809
MEM 324.238281 1652243521.7812
MEM 354.761719 1652243521.8816
MEM 370.089844 1652243521.9820
MEM 370.089844 1652243522.0823
MEM 324.238281 1652243522.1827
MEM 355.019531 1652243522.2832
MEM 370.347656 1652243522.3836
MEM 370.347656 1652243522.4840
MEM 324.238281 1652243522.5844
MEM 355.019531 1652243522.6848
MEM 370.347656 1652243522.7852
MEM 370.347656 1652243522.8856
MEM 324.238281 1652243522.9860
MEM 324.496094 1652243523.0864
MEM 355.019531 1652243523.1868
MEM 370.347656 1652243523.2871
MEM 324.238281 1652243523.3925
MEM 339.500000 1652243523.4930
MEM 355.019531 1652243523.5934
MEM 370.347656 1652243523.6939
MEM 309.171875 1652243523.7943
MEM 324.238281 1652243523.8947
MEM 354.761719 1652243523.9952
MEM 370.089844 1652243524.0957
MEM 370.089844 1652243524.1992
MEM 324.238281 1652243524.3017
MEM 324.238281 1652243524.4022
MEM 355.019531 1652243524.5026
MEM 370.347656 1652243524.6031
MEM 370.347656 1652243524.7040
MEM 324.238281 1652243524.8044
MEM 355.019531 1652243524.9052
MEM 370.347656 1652243525.0057
MEM 370.347656 1652243525.1062
MEM 324.238281 1652243525.2066
MEM 355.019531 1652243525.3070
MEM 370.347656 1652243525.4075
MEM 370.347656 1652243525.5079
MEM 324.238281 1652243525.6082
